College,City,State,Number of registered students,Unnamed: 4,Latitude,Longtitude,Longtitude2
Western Governors University,Salt Lake City,Utah,44,#NAME?,40.6849285,-111.8722465,-111.8700565
George Mason University,Fairfax,Virginia,33,,38.8298118,-77.3095546,-77.3073646
University Of North Georgia,Dahlonega,Georgia,26,,34.5278618,-83.9866356,-83.9844456
University Of Maryland-University College,Largo,Maryland,17,,38.91265,-76.849793,-76.847603
Virginia Polytechnic Institute And State University,Blacksburg,Virginia,16,,37.2283843,-80.4256107,-80.4234207
University Of South Florida-Main Campus,Tampa,Florida,15,,28.0587031,-82.4160479,-82.4138579
Middle Georgia State University,Macon,Georgia,13,,32.8082159,-83.7340792,-83.7318892
Texas A & M University-College Station,College Station,Texas,13,,30.6187558,-96.3386712,-96.3364812
University Of Nevada-Reno,Reno,Nevada,13,,39.5453407,-119.8183597,-119.8161697
Wilmington University,New Castle,Delaware,13,,39.6820414,-75.5886239,-75.5864339
Pikes Peak Community College,Colorado Springs,Colorado,12,,38.7646231,-104.7883984,-104.7862084
California State Polytechnic University-Pomona,Pomona,California,11,,34.0544485,-117.8216832,-117.8194932
Houston Community College,Houston,Texas,11,,34.0482035,-117.847319,-117.845129
Iowa State University,Ames,Iowa,11,,42.0266187,-93.6486594,-93.6464694
Marymount University,Arlington,Virginia,11,,38.9055726,-77.1301201,-77.1279301
Michigan State University,East Lansing,Michigan,11,,42.701848,-84.4843659,-84.4821759
Fairleigh Dickinson University-Florham Campus,Madison,New Jersey,10,,40.7761962,-74.4343237,-74.4321337
Ivy Tech Community College,Anderson,Indiana,10,,40.2358911,-87.0115779,-87.00938790000001
Liberty University,Lynchburg,Virginia,10,,37.3530446,-79.1791469,-79.17695690000001
The University Of Texas At San Antonio,San Antonio,Texas,10,,29.5827351,-98.6210993,-98.6189093
University Of Maryland-Baltimore County,Baltimore,Maryland,10,,39.2556759,-76.7131614,-76.7109714
New Jersey Institute Of Technology,Newark,New Jersey,8,,40.7427996,-74.1792824,-74.1770924
Southern New Hampshire University,Manchester,New Hampshire,8,,43.0406977,-71.4555238,-71.4533338
Austin Peay State University,Clarksville,Tennessee,7,,36.53498,-87.3570795,-87.3548895
College Of Coastal Georgia,Brunswick,Georgia,7,,31.1832649,-81.4889752,-81.4867852
College Of Southern Nevada,Henderson,Nevada,7,,36.8049912,-115.9973001,-115.9951101
Ferris State University,Big Rapids,Michigan,7,,43.6839617,-85.4874428,-85.4852528
Georgia Institute Of Technology-Main Campus,Atlanta,Georgia,7,,33.7756178,-84.398479,-84.396289
Norwich University,Northfield,Vermont,7,,44.1466439,-72.6764968,-72.6743068
Old Dominion University,Norfolk,Virginia,7,,36.8858594,-76.3078991,-76.3057091
University Of Maine At Augusta,Augusta,Maine,7,,44.3379097,-69.7987062,-69.7965162
University Of Virginia-Main Campus,Charlottesville,Virginia,7,,38.0335529,-78.5101712,-78.5079812
California State University-Sacramento,Sacramento,California,6,,38.5612918,-121.4262459,-121.4240559
Champlain College,Burlington,Vermont,6,,44.4731165,-73.2063292,-73.2041392
Depaul University,Chicago,Illinois,6,,41.9247559,-87.6588405,-87.6566505
Gwinnett Technical College,Lawrenceville,Georgia,6,,33.9627934,-84.0697649,-84.0675749
Kennesaw State University,Kennesaw,Georgia,6,,33.9892914,-84.6693164,-84.6671264
New York University,New York,New York,6,,40.7277408,-74.0047943,-74.0026043
University Of Colorado Boulder,Boulder,Colorado,6,,40.007581,-105.2681357,-105.2659457
University Of Delaware,Newark,Delaware,6,,39.6779504,-75.7528054,-75.7506154
University Of Idaho,Moscow,Idaho,6,,46.7288124,-117.0148024,-117.0126124
Anne Arundel Community College,Arnold,Maryland,5,,39.0498687,-76.5157574,-76.5135674
Augusta University,Augusta,Georgia,5,,33.4711738,-82.0220152,-82.0198252
California State University-San Bernardino,San Bernardino,California,5,,34.1817955,-117.3259159,-117.3237259
Community College Of Rhode Island,Providence,Rhode Island,5,,41.7073107,-71.6785546,-71.6763646
Drake University,Des Moines,Iowa,5,,41.6030995,-93.6568421,-93.6546521
Lewis-Clark State College,Lewiston,Idaho,5,,46.4116044,-117.0278594,-117.0256694
Merritt College,Oakland,California,5,,37.789553,-122.167806,-122.165616
Santa Rosa Junior College,Santa Rosa,California,5,,38.4549178,-122.7239038,-122.7217138
The University Of Texas At Dallas,Richardson,Texas,5,,32.9857619,-96.7522933,-96.7501033
University Of California-San Diego,La Jolla,California,5,,32.8800604,-117.2362075,-117.23401750000001
University Of Maryland-College Park,College Park,Maryland,5,,38.9869183,-76.9447483,-76.9425583
University Of North Carolina At Charlotte,Charlotte,North Carolina,5,,35.3070929,-80.737358,-80.735168
University Of North Texas,Denton,Texas,5,,33.207488,-97.1547802,-97.1525902
Utica College,Utica,New York,5,,43.0949906,-75.2733688,-75.2711788
Arizona State University-Tempe,Tempe,Arizona,4,,33.4205807,-111.936568,-111.934378
Dakota State University,Madison,South Dakota,4,,44.012598,-97.1130763,-97.1108863
Georgia Southern University,Statesboro,Georgia,4,,32.4205489,-81.7887287,-81.7865387
Johns Hopkins University,Baltimore,Maryland,4,,39.3299013,-76.6227117,-76.6205217
Northern Virginia Community College,Annandale,Virginia,4,,38.8341332,-77.2388232,-77.2366332
Stevens Institute Of Technology,Hoboken,New Jersey,4,,40.7450708,-74.0270209,-74.0248309
Texas A & M University-Central Texas,College Station,Texas,4,,31.0527826,-97.7760458,-97.7738558
The University Of Tennessee-Chattanooga,Chattanooga,Tennessee,4,,35.0458509,-85.2975012,-85.2953112
Tiffin University,Tiffin,Ohio,4,,41.1194664,-83.1902402,-83.1880502
Troy University,Troy,Alabama,4,,31.8010955,-85.9594939,-85.9573039
University Of Arizona-South,Sierra Vista,Arizona,4,,31.5667892,-110.247951,-110.245761
Virginia Commonwealth University,Richmond,Virginia,4,,37.5483122,-77.4548745,-77.4526845
American Public University System,Charles Town,West Virginia,3,,39.2877823,-77.8622759,-77.8600859
American University,Washington,District of Columbia,3,,38.9374948,-77.0909969,-77.0888069
Brigham Young University-Idaho,Rexburg,Idaho,3,,43.8144101,-111.785449,-111.783259
Butler University,Indianapolis,Indiana,3,,39.8405491,-86.1730867,-86.1708967
Capella University,Minneapolis,Minnesota,3,,44.976168,-93.2707749,-93.26858490000001
Central Connecticut State University,New Britain,Connecticut,3,,41.6929529,-72.7704487,-72.7682587
Central Piedmont Community College,Matthews,North Carolina,3,,35.106532,-80.696106,-80.693916
Central Texas College,Killeen,Texas,3,,35.0699148,-78.9539764,-78.9517864
City College Of San Francisco,San Francisco,California,3,,37.7255655,-122.4533298,-122.4511398
Colorado State University-Fort Collins,Fort Collins,Colorado,3,,40.573436,-105.0887413,-105.0865513
Delaware Technical Community College-Terry,Dover,Delaware,3,,39.1981614,-75.5645153,-75.5623253
Gadsden State Community College,Gadsden,Alabama,3,,33.9955117,-85.9937642,-85.9915742
George Washington University,Washington,District of Columbia,3,,38.8997145,-77.0507932,-77.0486032
Georgia Gwinnett College,Lawrenceville,Georgia,3,,33.9799796,-84.0066349,-84.0044449
Grand Canyon University,Phoenix,Arizona,3,,33.5104954,-112.1321242,-112.12993420000001
Harvey Mudd College,Claremont,California,3,,34.1057394,-117.7117481,-117.7095581
High Point University,High Point,North Carolina,3,,35.9721829,-79.997364,-79.995174
Indiana University-Bloomington,Bloomington,Indiana,3,,39.1754487,-86.514821,-86.512631
Kapiolani Community College,Honolulu,Hawaii,3,,21.2709554,-157.8016128,-157.79942279999997
Keiser University-Ft Lauderdale,Fort Lauderdale,Florida,3,,26.1859628,-80.165974,-80.163784
Lamar University,Beaumont,Texas,3,,30.0399053,-94.0777688,-94.0755788
Lewis University,Romeoville,Illinois,3,,41.6050295,-88.0827548,-88.0805648
Macomb Community College,Warren,Michigan,3,,42.5051879,-82.9751822,-82.97299220000001
Montgomery College,Germantown,Maryland,3,,38.7914717,-79.5172306,-79.5150406
Montgomery County Community College,Blue Bell,Pennsylvania,3,,40.1765166,-75.278955,-75.276765
National University,San Diego,California,3,,1.9783615,105.2371054,105.2392954
Northeastern State University,Tahlequah,Oklahoma,3,,35.9209678,-94.965902,-94.963712
Northwest Vista College,San Antonio,Texas,3,,29.4716439,-98.705443,-98.703253
Pasadena City College,Pasadena,California,3,,34.1439951,-118.1181987,-118.1160087
Rutgers University-New Brunswick,New Brunswick,New Jersey,3,,40.5008186,-74.4473991,-74.4452091
San Diego State University,San Diego,California,3,,32.7759894,-117.0712533,-117.0690633
San Joaquin Delta College,Stockton,California,3,,37.9953671,-121.3195528,-121.3173628
San Jose State University,San Jose,California,3,,37.3351874,-121.8810715,-121.8788815
The University Of Alabama,Tuscaloosa,Alabama,3,,33.2140233,-87.5391418,-87.5369518
United States Naval Academy,Annapolis,Maryland,3,,38.9820658,-76.4839405,-76.4817505
University Of Arizona,Tucson,Arizona,3,,32.2318851,-110.9501094,-110.9479194
University Of California-Berkeley,Berkeley,California,3,,37.8718992,-122.2585399,-122.2563499
University Of Central Florida,Orlando,Florida,3,,28.6024274,-81.2000599,-81.1978699
