College,City,State,Number of registered students,
Western Governors University,Salt Lake City,Utah,44,#NAME?
George Mason University,Fairfax,Virginia,33,
University Of North Georgia,Dahlonega,Georgia,26,
University Of Maryland-University College,Largo,Maryland,17,
Virginia Polytechnic Institute And State University,Blacksburg,Virginia,16,
University Of South Florida-Main Campus,Tampa,Florida,15,
Middle Georgia State University,Macon,Georgia,13,
Texas A & M University-College Station,College Station,Texas,13,
University Of Nevada-Reno,Reno,Nevada,13,
Wilmington University,New Castle,Delaware,13,
Pikes Peak Community College,Colorado Springs,Colorado,12,
California State Polytechnic University-Pomona,Pomona,California,11,
Houston Community College,Houston,Texas,11,
Iowa State University,Ames,Iowa,11,
Marymount University,Arlington,Virginia,11,
Michigan State University,East Lansing,Michigan,11,
Fairleigh Dickinson University-Florham Campus,Madison,New Jersey,10,
Ivy Tech Community College,Anderson,Indiana,10,
Liberty University,Lynchburg,Virginia,10,
The University Of Texas At San Antonio,San Antonio,Texas,10,
University Of Maryland-Baltimore County,Baltimore,Maryland,10,
New Jersey Institute Of Technology,Newark,New Jersey,8,
Southern New Hampshire University,Manchester,New Hampshire,8,
Austin Peay State University,Clarksville,Tennessee,7,
College Of Coastal Georgia,Brunswick,Georgia,7,
College Of Southern Nevada,Henderson,Nevada,7,
Ferris State University,Big Rapids,Michigan,7,
Georgia Institute Of Technology-Main Campus,Atlanta,Georgia,7,
Norwich University,Northfield,Vermont,7,
Old Dominion University,Norfolk,Virginia,7,
University Of Maine At Augusta,Augusta,Maine,7,
University Of Virginia-Main Campus,Charlottesville,Virginia,7,
California State University-Sacramento,Sacramento,California,6,
Champlain College,Burlington,Vermont,6,
Depaul University,Chicago,Illinois,6,
Gwinnett Technical College,Lawrenceville,Georgia,6,
Kennesaw State University,Kennesaw,Georgia,6,
New York University,New York,New York,6,
University Of Colorado Boulder,Boulder,Colorado,6,
University Of Delaware,Newark,Delaware,6,
University Of Idaho,Moscow,Idaho,6,
Anne Arundel Community College,Arnold,Maryland,5,
