Name,Entry Fee,Location,Date,Availability,new_location,IUPUI,The Speak Easy,zWORKS,Launch Fishers,Industrious Mass Ave,Launch Indy,new_entry_fee
Straight Up Stupid Presents DARREN FLEET,"
	$35 – $45
","
The Jewel Event Center
3333 North Illinois Street 
Indianapolis, IN 46208 
United States 

View Map
View Map

","



Sat, Oct 23, 2021, 8:00 PM EDT


Add to calendar


",AVAILABLE,"3333 North Illinois Street Indianapolis, IN 46208 ",11.0,11.0,26.0,27.0,13.0,13.0,40.0
"
				Red Not Chili Peppers
			","
	$12
","
The Vogue
6259 North College Avenue 
Indianapolis, IN 46220 
United States 

View Map
View Map

","



Sat, October 23, 2021, 9:00 PM EDT
Doors at 8:00 PM

Add to calendar


",AVAILABLE,"6259 North College Avenue Indianapolis, IN 46220 ",25.0,7.0,27.0,26.0,23.0,26.0,12.0
5th Annual Run For Ali 5K Run/Walk,"
	$15 – $25
","
Southeastway Park
5624 South Carroll Road 
New Palestine, IN 46163 
United States 

View Map
View Map

","



Sat, October 23, 2021
10:00 AM – 12:00 PM EDT

Add to calendar


",AVAILABLE,"5624 South Carroll Road New Palestine, IN 46163 ",31.0,33.0,42.0,34.0,25.0,24.0,20.0
Special Needs Living Fall Social at GiGi's Playhouse,"
	Free
","
GiGi's Playhouse Indianapolis
5909 East 86th Street 
Indianapolis, IN 46250 
United States 

View Map
View Map

","



Sat, October 23, 2021
1:00 PM – 4:00 PM EDT

Add to calendar


",AVAILABLE,"5909 East 86th Street Indianapolis, IN 46250 ",26.0,17.0,21.0,14.0,25.0,27.0,0.0
Illusions The Drag Queen Show Indianapolis - Drag Queen Dinner Show,"
	$10 – $799.99
","
Illusions The Drag Queen Show Indianapolis @ Taps and Dolls
247 S Meridian St 
Indianapolis, IN 46225 
United States 

View Map
View Map

","



Multiple Dates EDT





Sat, Oct 16 (7:00 PM)


Sat, Oct 23 (7:00 PM)


Sat, Oct 30 (7:00 PM)


Sat, Nov 6 (7:00 PM)


Sat, Nov 13 (7:00 PM)


Sat, Nov 20 (7:00 PM)



",AVAILABLE,"247 S Meridian St Indianapolis, IN 46225 ",10.0,21.0,32.0,33.0,2.0,2.0,404.995
Central Kicks Sneaker Convention,"
	$15 – $95
","
8610 W 10th St
8610 West 10th Street 
Indianapolis, IN 46234 
United States 

View Map
View Map

","



Sat, October 23, 2021
12:00 PM – 5:00 PM EDT

Add to calendar


",AVAILABLE,"8610 West 10th Street Indianapolis, IN 46234 ",19.0,32.0,27.0,41.0,22.0,20.0,55.0
Ghost Stories at Tibbs Drive-IN,"
	$20 – $50
","
Tibbs Drive-In
480 South Tibbs Avenue 
Indianapolis, IN 46241 
United States 

View Map
View Map

","



Sat, October 23, 2021
6:00 PM – 11:00 PM EDT

Add to calendar


",AVAILABLE,"480 South Tibbs Avenue Indianapolis, IN 46241 ",13.0,29.0,31.0,41.0,12.0,11.0,35.0
BLACK COUPLE GETAWAYS PAINT & SIP INDIANAPOLIS,"
	$75
","
10 East Arts HUB
2301East 10th Street 
Indianapolis, IN 46201 
United States 

View Map
View Map

","



Sat, October 23, 2021
5:00 PM – 8:00 PM EDT

Add to calendar


",AVAILABLE,"2301East 10th Street Indianapolis, IN 46201 ",15.0,16.0,31.0,28.0,11.0,12.0,75.0
Beer Run - Metazoa Brewing | 2021 Indiana Brewery Running Series,"
	$35 – $100
","
Metazoa Brewing Company
140 South College Avenue 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Sat, October 23, 2021
11:00 AM – 2:00 PM EDT

Add to calendar


",AVAILABLE,"140 South College Avenue Indianapolis, IN 46202 ",13.0,20.0,33.0,31.0,5.0,5.0,67.5
Dolls After Dark (Saturday),"
	$20
","
White Rabbit Cabaret
1116 Prospect Street 
Indianapolis, IN 46203 
United States 

View Map
View Map

","



Sat, October 23, 2021
9:00 PM – 11:30 PM EDT

Add to calendar


",AVAILABLE,"1116 Prospect Street Indianapolis, IN 46203 ",14.0,23.0,35.0,34.0,6.0,6.0,20.0
Margarita Crawl Indianapolis,"
	$29.99
","
Indianapolis, Indiana
Indianapolis, IN 
United States 

View Map
View Map

","



Sat, October 23, 2021
2:00 PM – 8:00 PM EDT

Add to calendar


",AVAILABLE,"Indianapolis, IN United States ",9.0,20.0,30.0,32.0,4.0,4.0,29.99
Taste the Difference Festival & Sister Cities Fest (14th Annual),"
	$0 – $15
","
Indy's Global Village Welcome Center
4233 Lafayette Road 
Indianapolis, IN 46254 
United States 

View Map
View Map

","



Sat, October 23, 2021
11:00 AM – 2:00 PM EDT

Add to calendar


",AVAILABLE,"4233 Lafayette Road Indianapolis, IN 46254 ",15.0,18.0,20.0,34.0,18.0,17.0,7.5
Stuck There Saturday's,"
	$0 – $10
","
Limelight Nightclub
5150 West 38th Street 
Indianapolis, IN 46254 
United States 

View Map
View Map

","



Multiple Dates





Sat, Oct 16 (9:00 PM)


Sat, Oct 23 (9:00 PM)


Sat, Oct 30 (9:00 PM)


Sat, Nov 6 (9:00 PM)


Sat, Nov 13 (9:00 PM)


Sat, Nov 20 (9:00 PM)



",AVAILABLE,"5150 West 38th Street Indianapolis, IN 46254 ",16.0,18.0,21.0,35.0,18.0,18.0,5.0
Murder Mystery Theatre & Costume Contest,"
	$18
","
Storefront Theatre of Indianapolis
717 Broad Ripple Avenue 
Indianapolis, IN 46220 
United States 

View Map
View Map

","



Sat, October 23, 2021
6:30 PM – 9:00 PM EDT

Add to calendar


",AVAILABLE,"717 Broad Ripple Avenue Indianapolis, IN 46220 ",22.0,6.0,25.0,25.0,23.0,24.0,18.0
FREE BIKES and FREE HAIR CUTS AND STYLES,"
	Free
","
Scott United Methodist Church
2153 Doctor Andrew J Brown Avenue 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Sun, October 24, 2021
2:00 PM – 5:00 PM EDT

Add to calendar


",AVAILABLE,"2153 Doctor Andrew J Brown Avenue Indianapolis, IN 46202 ",15.0,13.0,32.0,28.0,12.0,14.0,0.0
Forward in Fashion Brunch,"
	$65 – $75
","
Illusions bar & grill
3661 W 86th St. 
Indianapolis, IN 46268 
United States 

View Map
View Map

","



Sat, October 23, 2021
1:00 PM – 4:00 PM EDT

Add to calendar


",AVAILABLE,"3661 W 86th St. Indianapolis, IN 46268 ",25.0,21.0,13.0,27.0,26.0,26.0,70.0
Girl Talk Incorporated Empowerment Workshop,"
	Free
","
1002 E Washington St
1002 East Washington Street 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Sat, October 23, 2021
11:00 AM – 2:00 PM EDT

Add to calendar


",AVAILABLE,"1002 East Washington Street Indianapolis, IN 46202 ",13.0,21.0,34.0,31.0,7.0,7.0,0.0
Plate It Up! Catering Culinary Presents: A Mock Restaurant,"
	Free
","
Broadway United Methodist Church
609 East 29th Street 
Indianapolis, IN 46205 
United States 

View Map
View Map

","



Multiple Dates





Sat, Oct 16 (10:00 AM)


Sat, Oct 23 (10:00 AM)



",AVAILABLE,"609 East 29th Street Indianapolis, IN 46205 ",12.0,9.0,27.0,24.0,12.0,14.0,0.0
"4th Annual IBCC Award's Ceremony - ""Stronger Together""","
	$75 – $1,000
","
The Willows
Ballroom 
6729 Westfield Blvd 
Indianapolis, IN 46220 
United States 

View Map
View Map

","



Sun, October 24, 2021
5:00 PM – 8:00 PM EDT

Add to calendar


",AVAILABLE,Ballroom 6729 Westfield Blvd ,25.0,9.0,24.0,23.0,26.0,27.0,537.5
Monument Circle Tours 2021,"
	$0 – $10
","
South Bend Chocolate Company Café
30 Monument Circle 
Indianapolis, IN 46204 
United States 

View Map
View Map

","



Multiple Dates





Sat, Oct 23 (10:00 AM)



",AVAILABLE,"30 Monument Circle Indianapolis, IN 46204 ",8.0,20.0,30.0,32.0,5.0,6.0,5.0
Historic PUBLIC TOURS at Crown Hill Cemetery 2021,"
	$0 – $7
","
Crown Hill Cemetery
3400 Boulevard Place 
Indianapolis, IN 46208 
United States 

View Map
View Map

","



Multiple Dates





Sat, Oct 16 (9:30 AM)


Sun, Oct 24 (3:00 PM) [Sold Out]



",AVAILABLE,"3400 Boulevard Place Indianapolis, IN 46208 ",11.0,10.0,25.0,27.0,12.0,12.0,3.5
"Pumpkins, Pumpkins, Pumpkins, Fun to make! Make one with GAI@CCIC","
	$50
","
Glass Arts Indiana
1125 Brookside Ave C25 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Sat, October 23, 2021
12:00 PM – 2:00 PM EDT

Add to calendar


",AVAILABLE,"1125 Brookside Ave C25 Indianapolis, IN 46202 ",14.0,16.0,31.0,30.0,10.0,12.0,50.0
Fall Themed Paint Your Pet Workshop,"
	$45
","
Metazoa Brewing Company
140 South College Avenue 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Sun, October 24, 2021
11:00 AM – 5:30 PM EDT

Add to calendar


",AVAILABLE,"140 South College Avenue Indianapolis, IN 46202 ",13.0,20.0,33.0,31.0,5.0,5.0,45.0
Hocus Pocus,"
	$20
","
Sun King Brewery
135 North College Avenue 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Sun, October 24, 2021
11:30 AM – 2:00 PM EDT

Add to calendar


",AVAILABLE,"135 North College Avenue Indianapolis, IN 46202 ",11.0,17.0,32.0,29.0,4.0,6.0,20.0
VOLTCON 2021!,"
	$0 – $125
","
Indianapolis Marriott East
7202 East 21st Street 
Indianapolis, IN 46219 
United States 

View Map
View Map

","
Contact the organizer to request a refund.
Eventbrite's fee is nonrefundable.
",AVAILABLE,"7202 East 21st Street Indianapolis, IN 46219 ",17.0,19.0,30.0,22.0,16.0,18.0,62.5
Murder Mystery Theatre  Matinee,"
	$15
","
Storefront Theatre of Indianapolis
717 Broad Ripple Avenue 
Indianapolis, IN 46220 
United States 

View Map
View Map

","



Sun, October 24, 2021
1:30 PM – 3:00 PM EDT

Add to calendar


",AVAILABLE,"717 Broad Ripple Avenue Indianapolis, IN 46220 ",22.0,6.0,25.0,25.0,23.0,24.0,15.0
Pogue's Run Fall Bike Ride,"
	Free
","
Fletcher Park
1429 E Brookside Ave 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Sun, October 24, 2021
12:00 PM – 2:00 PM EDT

Add to calendar


",AVAILABLE,"1429 E Brookside Ave Indianapolis, IN 46202 ",14.0,16.0,31.0,30.0,10.0,12.0,0.0
Deeva Ball,"
	$50
","
The Silver Centre Event Hall
10202 East Washington Street 
#Suite 300 
Indianapolis, IN 46229 
United States 

View Map
View Map

","



Sun, October 24, 2021
1:00 PM – 5:00 PM EDT

Add to calendar


",AVAILABLE,10202 East Washington Street #Suite 300 ,23.0,25.0,35.0,26.0,22.0,24.0,50.0
