Name,Entry Fee,Location,Date,Availability
Straight Up Stupid Presents DARREN FLEET,"
	$35 – $45
","
The Jewel Event Center
3333 North Illinois Street 
Indianapolis, IN 46208 
United States 

View Map
View Map

","



Sat, Oct 23, 2021, 8:00 PM EDT


Add to calendar


",AVAILABLE
"
				Red Not Chili Peppers
			","
	$12
","
The Vogue
6259 North College Avenue 
Indianapolis, IN 46220 
United States 

View Map
View Map

","



Sat, October 23, 2021, 9:00 PM EDT
Doors at 8:00 PM

Add to calendar


",AVAILABLE
5th Annual Run For Ali 5K Run/Walk,"
	$15 – $25
","
Southeastway Park
5624 South Carroll Road 
New Palestine, IN 46163 
United States 

View Map
View Map

","



Sat, October 23, 2021
10:00 AM – 12:00 PM EDT

Add to calendar


",AVAILABLE
Special Needs Living Fall Social at GiGi's Playhouse,"
	Free
","
GiGi's Playhouse Indianapolis
5909 East 86th Street 
Indianapolis, IN 46250 
United States 

View Map
View Map

","



Sat, October 23, 2021
1:00 PM – 4:00 PM EDT

Add to calendar


",AVAILABLE
Illusions The Drag Queen Show Indianapolis - Drag Queen Dinner Show,"
	$10 – $799.99
","
Illusions The Drag Queen Show Indianapolis @ Taps and Dolls
247 S Meridian St 
Indianapolis, IN 46225 
United States 

View Map
View Map

","



Multiple Dates EDT





Sat, Oct 16 (7:00 PM)


Sat, Oct 23 (7:00 PM)


Sat, Oct 30 (7:00 PM)


Sat, Nov 6 (7:00 PM)


Sat, Nov 13 (7:00 PM)


Sat, Nov 20 (7:00 PM)



",AVAILABLE
Central Kicks Sneaker Convention,"
	$15 – $95
","
8610 W 10th St
8610 West 10th Street 
Indianapolis, IN 46234 
United States 

View Map
View Map

","



Sat, October 23, 2021
12:00 PM – 5:00 PM EDT

Add to calendar


",AVAILABLE
Ghost Stories at Tibbs Drive-IN,"
	$20 – $50
","
Tibbs Drive-In
480 South Tibbs Avenue 
Indianapolis, IN 46241 
United States 

View Map
View Map

","



Sat, October 23, 2021
6:00 PM – 11:00 PM EDT

Add to calendar


",AVAILABLE
The Big Chill 2021,"
	$30 – $35
","
Big Lug Canteen
1435 East 86th Street 
Indianapolis, IN 46240 
United States 

View Map
View Map

","



Sat, October 23, 2021
12:00 PM – 6:00 PM EDT

Add to calendar


",UNAVAILABLE
BLACK COUPLE GETAWAYS PAINT & SIP INDIANAPOLIS,"
	$75
","
10 East Arts HUB
2301East 10th Street 
Indianapolis, IN 46201 
United States 

View Map
View Map

","



Sat, October 23, 2021
5:00 PM – 8:00 PM EDT

Add to calendar


",AVAILABLE
Beer Run - Metazoa Brewing | 2021 Indiana Brewery Running Series,"
	$35 – $100
","
Metazoa Brewing Company
140 South College Avenue 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Sat, October 23, 2021
11:00 AM – 2:00 PM EDT

Add to calendar


",AVAILABLE
Dolls After Dark (Saturday),"
	$20
","
White Rabbit Cabaret
1116 Prospect Street 
Indianapolis, IN 46203 
United States 

View Map
View Map

","



Sat, October 23, 2021
9:00 PM – 11:30 PM EDT

Add to calendar


",AVAILABLE
Margarita Crawl Indianapolis,"
	$29.99
","
Indianapolis, Indiana
Indianapolis, IN 
United States 

View Map
View Map

","



Sat, October 23, 2021
2:00 PM – 8:00 PM EDT

Add to calendar


",AVAILABLE
Taste the Difference Festival & Sister Cities Fest (14th Annual),"
	$0 – $15
","
Indy's Global Village Welcome Center
4233 Lafayette Road 
Indianapolis, IN 46254 
United States 

View Map
View Map

","



Sat, October 23, 2021
11:00 AM – 2:00 PM EDT

Add to calendar


",AVAILABLE
Stuck There Saturday's,"
	$0 – $10
","
Limelight Nightclub
5150 West 38th Street 
Indianapolis, IN 46254 
United States 

View Map
View Map

","



Multiple Dates





Sat, Oct 16 (9:00 PM)


Sat, Oct 23 (9:00 PM)


Sat, Oct 30 (9:00 PM)


Sat, Nov 6 (9:00 PM)


Sat, Nov 13 (9:00 PM)


Sat, Nov 20 (9:00 PM)



",AVAILABLE
Murder Mystery Theatre & Costume Contest,"
	$18
","
Storefront Theatre of Indianapolis
717 Broad Ripple Avenue 
Indianapolis, IN 46220 
United States 

View Map
View Map

","



Sat, October 23, 2021
6:30 PM – 9:00 PM EDT

Add to calendar


",AVAILABLE
FREE BIKES and FREE HAIR CUTS AND STYLES,"
	Free
","
Scott United Methodist Church
2153 Doctor Andrew J Brown Avenue 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Sun, October 24, 2021
2:00 PM – 5:00 PM EDT

Add to calendar


",AVAILABLE
Forward in Fashion Brunch,"
	$65 – $75
","
Illusions bar & grill
3661 W 86th St. 
Indianapolis, IN 46268 
United States 

View Map
View Map

","



Sat, October 23, 2021
1:00 PM – 4:00 PM EDT

Add to calendar


",AVAILABLE
Girl Talk Incorporated Empowerment Workshop,"
	Free
","
1002 E Washington St
1002 East Washington Street 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Sat, October 23, 2021
11:00 AM – 2:00 PM EDT

Add to calendar


",AVAILABLE
Plate It Up! Catering Culinary Presents: A Mock Restaurant,"
	Free
","
Broadway United Methodist Church
609 East 29th Street 
Indianapolis, IN 46205 
United States 

View Map
View Map

","



Multiple Dates





Sat, Oct 16 (10:00 AM)


Sat, Oct 23 (10:00 AM)



",AVAILABLE
"4th Annual IBCC Award's Ceremony - ""Stronger Together""","
	$75 – $1,000
","
The Willows
Ballroom 
6729 Westfield Blvd 
Indianapolis, IN 46220 
United States 

View Map
View Map

","



Sun, October 24, 2021
5:00 PM – 8:00 PM EDT

Add to calendar


",AVAILABLE
Monument Circle Tours 2021,"
	$0 – $10
","
South Bend Chocolate Company Café
30 Monument Circle 
Indianapolis, IN 46204 
United States 

View Map
View Map

","



Multiple Dates





Sat, Oct 23 (10:00 AM)



",AVAILABLE
Historic PUBLIC TOURS at Crown Hill Cemetery 2021,"
	$0 – $7
","
Crown Hill Cemetery
3400 Boulevard Place 
Indianapolis, IN 46208 
United States 

View Map
View Map

","



Multiple Dates





Sat, Oct 16 (9:30 AM)


Sun, Oct 24 (3:00 PM) [Sold Out]



",AVAILABLE
