Time treatment begin,Treatment total cost
0,5.4481
1,5.4481
2,5.4481
3,5.4481
4,5.4481
5,5.4481
6,5.4481
7,5.4481
8,5.4481
9,5.4481
10,5.4481
11,5.418
12,5.418
13,5.418
14,5.418
15,5.418
16,5.418
17,5.418
18,5.418
19,5.418
20,5.418
21,5.418
22,5.418
23,5.3879
24,5.3879
25,5.3879
26,5.3879
27,5.3879
28,5.3879
29,5.3879
30,5.3879
31,5.3879
32,5.3879
33,5.3879
34,5.3578
35,5.3578
36,5.3578
37,5.3578
38,5.3578
39,5.3578
40,5.3578
41,5.3578
42,5.3578
43,5.3578
44,5.3578
45,5.3277
46,5.3277
47,5.3277
48,5.3277
49,5.3277
50,5.3277
51,5.3277
52,5.3277
53,5.3277
54,5.3277
55,5.3277
56,5.2976
57,5.2976
58,5.2976
59,5.2976
60,5.2976
61,5.2976
62,5.2976
63,5.2976
64,5.2976
65,5.2976
66,5.2675
67,5.2675
68,5.2675
69,5.2675
70,5.2675
71,5.2675
72,5.2675
73,5.2675
74,5.2675
75,5.2675
76,5.2675
77,5.237399999999999
78,5.237399999999999
79,5.237399999999999
80,5.237399999999999
81,5.237399999999999
82,5.237399999999999
83,5.237399999999999
84,5.237399999999999
85,5.237399999999999
86,5.237399999999999
87,5.207299999999999
88,5.207299999999999
89,5.207299999999999
90,5.207299999999999
91,5.207299999999999
92,5.207299999999999
93,5.207299999999999
94,5.207299999999999
95,5.207299999999999
96,5.207299999999999
97,5.177199999999999
98,5.177199999999999
99,5.177199999999999
100,5.177199999999999
101,5.177199999999999
102,5.177199999999999
103,5.177199999999999
104,5.177199999999999
105,5.177199999999999
106,5.177199999999999
107,5.177199999999999
108,5.147099999999999
109,5.147099999999999
110,5.147099999999999
111,5.147099999999999
112,5.147099999999999
113,5.147099999999999
114,5.147099999999999
115,5.147099999999999
116,5.147099999999999
117,5.147099999999999
118,5.116999999999999
119,5.116999999999999
120,5.116999999999999
121,5.116999999999999
122,5.116999999999999
123,5.116999999999999
124,5.116999999999999
125,5.116999999999999
126,5.116999999999999
127,5.116999999999999
128,5.086899999999999
129,5.086899999999999
130,5.086899999999999
131,5.086899999999999
132,5.086899999999999
133,5.086899999999999
134,5.086899999999999
135,5.086899999999999
136,5.086899999999999
137,5.056799999999999
138,5.056799999999999
139,5.056799999999999
140,5.056799999999999
141,5.056799999999999
142,5.056799999999999
143,5.056799999999999
144,5.056799999999999
145,5.056799999999999
146,5.056799999999999
147,5.026699999999999
148,5.026699999999999
149,5.026699999999999
150,5.026699999999999
151,5.026699999999999
152,5.026699999999999
153,5.026699999999999
