Time treatment begin,Treatment total cost
71905,3.7022999999999997
71906,3.7022999999999997
71907,3.7022999999999997
71908,3.7022999999999997
71909,3.7022999999999997
71910,3.7022999999999997
71911,3.7022999999999997
71912,3.6721999999999997
71913,3.6721999999999997
71914,3.6721999999999997
71915,3.6721999999999997
71916,3.6721999999999997
71917,3.6721999999999997
71918,3.6721999999999997
71919,3.6721999999999997
71920,3.6721999999999997
71921,3.6420999999999997
71922,3.6420999999999997
71923,3.6420999999999997
71924,3.6420999999999997
71925,3.6420999999999997
71926,3.6420999999999997
71927,3.6420999999999997
71928,3.6420999999999997
71929,3.6420999999999997
71930,3.6119999999999997
71931,3.6119999999999997
71932,3.6119999999999997
71933,3.6119999999999997
71934,3.6119999999999997
71935,3.6119999999999997
71936,3.6119999999999997
71937,3.6119999999999997
71938,3.5818999999999996
71939,3.5818999999999996
71940,3.5818999999999996
71941,3.5818999999999996
71942,3.5818999999999996
71943,3.5818999999999996
71944,3.5818999999999996
71945,3.5818999999999996
71946,3.5818999999999996
71947,3.5517999999999996
71948,3.5517999999999996
71949,3.5517999999999996
71950,3.5517999999999996
71951,3.5517999999999996
71952,3.5517999999999996
71953,3.5517999999999996
71954,3.5517999999999996
71955,3.5216999999999996
71956,3.5216999999999996
71957,3.5216999999999996
71958,3.5216999999999996
71959,3.5216999999999996
71960,3.5216999999999996
71961,3.5216999999999996
71962,3.5216999999999996
71963,3.5216999999999996
71964,3.4915999999999996
71965,3.4915999999999996
71966,3.4915999999999996
71967,3.4915999999999996
71968,3.4915999999999996
71969,3.4915999999999996
71970,3.4915999999999996
71971,3.4915999999999996
71972,3.4915999999999996
71973,3.4615
71974,3.4615
71975,3.4615
71976,3.4615
71977,3.4615
71978,3.4615
71979,3.4615
71980,3.4615
71981,3.4615
71982,3.4314
71983,3.4314
71984,3.4314
71985,3.4314
71986,3.4314
71987,3.4314
71988,3.4314
71989,3.4314
71990,3.4013
71991,3.4013
71992,3.4013
71993,3.4013
71994,3.4013
71995,3.4013
71996,3.4013
71997,3.4013
71998,3.4013
71999,3.3712
72000,3.3712
72001,3.3712
72002,3.3712
72003,3.3712
72004,3.3712
72005,3.3712
72006,3.3712
72007,3.3712
72008,3.3411
72009,3.3411
72010,3.3411
72011,3.3411
72012,3.3411
72013,3.3411
72014,3.3411
72015,3.3411
72016,3.3411
72017,3.311
72018,3.311
72019,3.311
72020,3.311
72021,3.311
72022,3.311
72023,3.311
72024,3.311
72025,3.311
72026,3.2809
72027,3.2809
72028,3.2809
72029,3.2809
72030,3.2809
72031,3.2809
72032,3.2809
72033,3.2809
72034,3.2809
72035,3.2809
72036,3.2508
72037,3.2508
72038,3.2508
72039,3.2508
72040,3.2508
72041,3.2508
72042,3.2508
72043,3.2508
72044,3.2508
72045,3.2207
72046,3.2207
72047,3.2207
72048,3.2207
72049,3.2207
72050,3.2207
72051,3.2207
72052,3.2207
72053,3.2207
72054,3.1906
72055,3.1906
72056,3.1906
72057,3.1906
72058,3.1906
72059,3.1906
72060,3.1906
72061,3.1906
72062,3.1906
72063,3.1605
72064,3.1605
72065,3.1605
72066,3.1605
72067,3.1605
72068,3.1605
72069,3.1605
72070,3.1605
72071,3.1605
72072,3.1605
72073,3.1304
72074,3.1304
72075,3.1304
72076,3.1304
72077,3.1304
72078,3.1304
72079,3.1304
72080,3.1304
72081,3.1304
72082,3.1003
72083,3.1003
72084,3.1003
72085,3.1003
72086,3.1003
72087,3.1003
