Time_injection,Win,terminated_arr
0,1,1.81
1,1,1.82
2,1,1.83
3,1,1.84
4,1,1.85
5,1,1.86
6,1,1.87
7,1,1.88
8,1,1.89
9,1,1.9
10,1,1.91
11,1,1.92
12,1,1.92
13,1,1.93
14,1,1.94
15,1,1.95
16,1,1.96
17,1,1.97
18,1,1.98
19,1,1.99
20,1,2.0
21,1,2.01
22,1,2.02
23,1,2.02
24,1,2.03
25,1,2.04
26,1,2.05
27,1,2.06
28,1,2.07
29,1,2.08
30,1,2.09
31,1,2.1
32,1,2.11
33,1,2.12
34,1,2.12
35,1,2.13
36,1,2.14
37,1,2.15
38,1,2.16
39,1,2.17
40,1,2.18
41,1,2.19
42,1,2.2
43,1,2.21
44,1,2.22
45,1,2.22
46,1,2.23
47,1,2.24
48,1,2.25
49,1,2.26
50,1,2.27
51,1,2.28
52,1,2.29
53,1,2.3
54,1,2.31
55,1,2.32
56,1,2.32
57,1,2.33
58,1,2.34
59,1,2.35
60,1,2.36
61,1,2.37
62,1,2.38
63,1,2.39
64,1,2.4
65,1,2.41
66,1,2.42
67,1,2.42
68,1,2.43
69,1,2.44
70,1,2.45
71,1,2.46
72,1,2.47
73,1,2.48
74,1,2.49
75,1,2.5
76,1,2.51
77,1,2.51
78,1,2.52
79,1,2.53
80,1,2.54
81,1,2.55
82,1,2.56
83,1,2.57
84,1,2.58
85,1,2.59
86,1,2.6
87,1,2.6
88,1,2.61
89,1,2.62
90,1,2.63
91,1,2.64
92,1,2.65
93,1,2.66
94,1,2.67
95,1,2.68
96,1,2.69
97,1,2.7
98,1,2.7
99,1,2.71
100,1,2.72
101,1,2.73
102,1,2.74
103,1,2.75
104,1,2.76
105,1,2.77
106,1,2.78
107,1,2.79
108,1,2.79
109,1,2.8
110,1,2.81
111,1,2.82
112,1,2.83
113,1,2.84
114,1,2.85
115,1,2.86
116,1,2.87
117,1,2.88
118,1,2.88
119,1,2.89
120,1,2.9
121,1,2.91
122,1,2.92
123,1,2.93
124,1,2.94
125,1,2.95
126,1,2.96
127,1,2.97
128,1,2.97
129,1,2.98
130,1,2.99
131,1,3.0
132,1,3.01
133,1,3.02
134,1,3.03
135,1,3.04
136,1,3.05
137,1,3.05
138,1,3.06
139,1,3.07
140,1,3.08
141,1,3.09
142,1,3.1
143,1,3.11
144,1,3.12
145,1,3.13
146,1,3.14
147,1,3.14
148,1,3.15
149,1,3.16
150,1,3.17
151,1,3.18
152,1,3.19
153,1,3.2
154,1,3.21
155,1,3.22
156,1,3.23
157,1,3.23
158,1,3.24
159,1,3.25
160,1,3.26
161,1,3.27
162,1,3.28
163,1,3.29
164,1,3.3
165,1,3.31
166,1,3.32
167,1,3.32
168,1,3.33
169,1,3.34
170,1,3.35
171,1,3.36
172,1,3.37
173,1,3.38
174,1,3.39
175,1,3.4
176,1,3.4
177,1,3.41
178,1,3.42
179,1,3.43
180,1,3.44
181,1,3.45
182,1,3.46
183,1,3.47
184,1,3.48
185,1,3.49
186,1,3.49
187,1,3.5
188,1,3.51
189,1,3.52
190,1,3.53
191,1,3.54
192,1,3.55
193,1,3.56
194,1,3.57
195,1,3.57
196,1,3.58
197,1,3.59
198,1,3.6
199,1,3.61
200,1,3.62
201,1,3.63
202,1,3.64
203,1,3.65
204,1,3.66
205,1,3.66
206,1,3.67
207,1,3.68
208,1,3.69
209,1,3.7
210,1,3.71
211,1,3.72
212,1,3.73
213,1,3.74
214,1,3.74
215,1,3.75
216,1,3.76
217,1,3.77
218,1,3.78
219,1,3.79
220,1,3.8
221,1,3.81
222,1,3.82
223,1,3.83
224,1,3.83
225,1,3.84
226,1,3.85
227,1,3.86
228,1,3.87
229,1,3.88
230,1,3.89
231,1,3.9
232,1,3.91
233,1,3.91
234,1,3.92
235,1,3.93
236,1,3.94
237,1,3.95
238,1,3.96
239,1,3.97
240,1,3.98
241,1,3.99
242,1,3.99
243,1,4.0
244,1,4.01
245,1,4.02
246,1,4.03
247,1,4.04
248,1,4.05
249,1,4.06
250,1,4.07
251,1,4.08
252,1,4.08
253,1,4.09
254,1,4.1
255,1,4.11
256,1,4.12
257,1,4.13
258,1,4.14
259,1,4.15
260,1,4.16
261,1,4.16
262,1,4.17
263,1,4.18
264,1,4.19
265,1,4.2
266,1,4.21
267,1,4.22
268,1,4.23
269,1,4.24
270,1,4.24
271,1,4.25
272,1,4.26
273,1,4.27
274,1,4.28
275,1,4.29
276,1,4.3
277,1,4.31
278,1,4.32
279,1,4.32
280,1,4.33
281,1,4.34
282,1,4.35
283,1,4.36
284,1,4.37
285,1,4.38
286,1,4.39
287,1,4.4
288,1,4.41
289,1,4.41
290,1,4.42
291,1,4.43
292,1,4.44
293,1,4.45
294,1,4.46
295,1,4.47
296,1,4.48
297,1,4.49
298,1,4.49
299,1,4.5
300,1,4.51
301,1,4.52
302,1,4.53
303,1,4.54
304,1,4.55
305,1,4.56
306,1,4.57
307,1,4.57
308,1,4.58
309,1,4.59
310,1,4.6
311,1,4.61
312,1,4.62
313,1,4.63
314,1,4.64
315,1,4.65
316,1,4.65
317,1,4.66
318,1,4.67
319,1,4.68
320,1,4.69
321,1,4.7
322,1,4.71
323,1,4.72
324,1,4.73
325,1,4.74
326,1,4.74
327,1,4.75
328,1,4.76
329,1,4.77
330,1,4.78
331,1,4.79
332,1,4.8
333,1,4.81
334,1,4.82
335,1,4.82
336,1,4.83
337,1,4.84
338,1,4.85
339,1,4.86
340,1,4.87
341,1,4.88
342,1,4.89
343,1,4.9
344,1,4.9
345,1,4.91
346,1,4.92
347,1,4.93
348,1,4.94
349,1,4.95
350,1,4.96
351,1,4.97
352,1,4.98
353,1,4.98
354,1,4.99
355,1,5.0
356,1,5.01
357,1,5.02
358,1,5.03
359,1,5.04
360,1,5.05
361,1,5.06
362,1,5.07
363,1,5.07
364,1,5.08
365,1,5.09
366,1,5.1
367,1,5.11
368,1,5.12
369,1,5.13
370,1,5.14
371,1,5.15
372,1,5.15
373,1,5.16
374,1,5.17
375,1,5.18
376,1,5.19
377,1,5.2
378,1,5.21
379,1,5.22
380,1,5.23
381,1,5.23
382,1,5.24
383,1,5.25
384,1,5.26
385,1,5.27
386,1,5.28
387,1,5.29
388,1,5.3
389,1,5.31
390,1,5.31
391,1,5.32
392,1,5.33
393,1,5.34
394,1,5.35
395,1,5.36
396,1,5.37
397,1,5.38
398,1,5.39
399,1,5.4
400,1,5.4
401,1,5.41
402,1,5.42
403,1,5.43
404,1,5.44
405,1,5.45
406,1,5.46
407,1,5.47
408,1,5.48
409,1,5.48
410,1,5.49
411,1,5.5
412,1,5.51
413,1,5.52
414,1,5.53
415,1,5.54
416,1,5.55
417,1,5.56
418,1,5.56
419,1,5.57
420,1,5.58
421,1,5.59
422,1,5.6
423,1,5.61
424,1,5.62
425,1,5.63
426,1,5.64
427,1,5.65
428,1,5.65
429,1,5.66
430,1,5.67
431,1,5.68
432,1,5.69
433,1,5.7
434,1,5.71
435,1,5.72
436,1,5.73
437,1,5.73
438,1,5.74
439,1,5.75
440,1,5.76
441,1,5.77
442,1,5.78
443,1,5.79
444,1,5.8
445,1,5.81
446,1,5.81
447,1,5.82
448,1,5.83
449,1,5.84
450,1,5.85
451,1,5.86
452,1,5.87
453,1,5.88
454,1,5.89
455,1,5.9
456,1,5.9
457,1,5.91
458,1,5.92
459,1,5.93
460,1,5.94
461,1,5.95
462,1,5.96
463,1,5.97
464,1,5.98
465,1,5.98
466,1,5.99
467,1,6.0
468,1,6.01
469,1,6.02
470,1,6.03
471,1,6.04
472,1,6.05
473,1,6.06
474,1,6.07
475,1,6.07
476,1,6.08
477,1,6.09
478,1,6.1
479,1,6.11
480,1,6.12
481,1,6.13
482,1,6.14
483,1,6.15
484,1,6.15
485,1,6.16
486,1,6.17
487,1,6.18
488,1,6.19
489,1,6.2
490,1,6.21
491,1,6.22
492,1,6.23
493,1,6.24
494,1,6.24
495,1,6.25
496,1,6.26
497,1,6.27
498,1,6.28
499,1,6.29
500,1,6.3
501,1,6.31
502,1,6.32
503,1,6.33
504,1,6.33
505,1,6.34
506,1,6.35
507,1,6.36
508,1,6.37
509,1,6.38
510,1,6.39
511,1,6.4
512,1,6.41
513,1,6.41
514,1,6.42
515,1,6.43
516,1,6.44
517,1,6.45
518,1,6.46
519,1,6.47
520,1,6.48
521,1,6.49
522,1,6.5
523,1,6.5
524,1,6.51
525,1,6.52
526,1,6.53
527,1,6.54
528,1,6.55
529,1,6.56
530,1,6.57
531,1,6.58
532,1,6.59
533,1,6.59
534,1,6.6
535,1,6.61
536,1,6.62
537,1,6.63
538,1,6.64
539,1,6.65
540,1,6.66
541,1,6.67
542,1,6.68
543,1,6.68
544,1,6.69
545,1,6.7
546,1,6.71
547,1,6.72
548,1,6.73
549,1,6.74
550,1,6.75
551,1,6.76
552,1,6.77
553,1,6.77
554,1,6.78
555,1,6.79
556,1,6.8
557,1,6.81
558,1,6.82
559,1,6.83
560,1,6.84
561,1,6.85
562,1,6.86
563,1,6.86
564,1,6.87
565,1,6.88
566,1,6.89
567,1,6.9
568,1,6.91
569,1,6.92
570,1,6.93
571,1,6.94
572,1,6.95
573,1,6.95
574,1,6.96
575,1,6.97
576,1,6.98
577,1,6.99
578,1,7.0
579,1,7.01
580,1,7.02
581,1,7.03
582,1,7.04
583,1,7.04
584,1,7.05
585,1,7.06
586,1,7.07
587,1,7.08
588,1,7.09
589,1,7.1
590,1,7.11
591,1,7.12
592,1,7.13
593,1,7.13
594,1,7.14
595,1,7.15
596,1,7.16
597,1,7.17
598,1,7.18
599,1,7.19
600,1,7.2
601,1,7.21
602,1,7.22
603,1,7.22
604,1,7.23
605,1,7.24
606,1,7.25
607,1,7.26
608,1,7.27
609,1,7.28
610,1,7.29
611,1,7.3
612,1,7.31
613,1,7.32
614,1,7.32
615,1,7.33
616,1,7.34
617,1,7.35
618,1,7.36
619,1,7.37
620,1,7.38
621,1,7.39
622,1,7.4
623,1,7.41
624,1,7.41
625,1,7.42
626,1,7.43
627,1,7.44
628,1,7.45
629,1,7.46
630,1,7.47
631,1,7.48
632,1,7.49
633,1,7.5
634,1,7.51
635,1,7.51
636,1,7.52
637,1,7.53
638,1,7.54
639,1,7.55
640,1,7.56
641,1,7.57
642,1,7.58
643,1,7.59
644,1,7.6
645,1,7.6
646,1,7.61
647,1,7.62
648,1,7.63
649,1,7.64
650,1,7.65
651,1,7.66
652,1,7.67
653,1,7.68
654,1,7.69
655,1,7.7
656,1,7.7
657,1,7.71
658,1,7.72
659,1,7.73
660,1,7.74
661,1,7.75
662,1,7.76
663,1,7.77
664,1,7.78
665,1,7.79
666,1,7.8
667,1,7.8
668,1,7.81
669,1,7.82
670,1,7.83
671,1,7.84
672,1,7.85
673,1,7.86
674,1,7.87
675,1,7.88
676,1,7.89
677,1,7.9
678,1,7.91
679,1,7.91
680,1,7.92
681,1,7.93
682,1,7.94
683,1,7.95
684,1,7.96
685,1,7.97
686,1,7.98
687,1,7.99
688,1,8.0
689,1,8.01
690,1,8.01
691,1,8.02
692,1,8.03
693,1,8.04
694,1,8.05
695,1,8.06
696,1,8.07
697,1,8.08
698,1,8.09
699,1,8.1
700,1,8.11
701,1,8.11
702,1,8.12
703,1,8.13
704,1,8.14
705,1,8.15
706,1,8.16
707,1,8.17
708,1,8.18
709,1,8.19
710,1,8.2
711,1,8.21
712,1,8.22
713,1,8.22
714,1,8.23
715,1,8.24
716,1,8.25
717,1,8.26
718,1,8.27
719,1,8.28
720,1,8.29
721,1,8.3
722,1,8.31
723,1,8.32
724,1,8.33
725,1,8.33
726,1,8.34
727,1,8.35
728,1,8.36
729,1,8.37
730,1,8.38
731,1,8.39
732,1,8.4
733,1,8.41
734,1,8.42
735,1,8.43
736,1,8.44
737,1,8.44
738,1,8.45
739,1,8.46
740,1,8.47
741,1,8.48
742,1,8.49
743,1,8.5
744,1,8.51
745,1,8.52
746,1,8.53
747,1,8.54
748,1,8.55
749,1,8.56
750,1,8.56
751,1,8.57
752,1,8.58
753,1,8.59
754,1,8.6
755,1,8.61
756,1,8.62
757,1,8.63
