Time_injection,Win,terminated_arr
132000,1,1321.29
132001,1,1321.29
132002,1,1321.3
132003,1,1321.31
132004,1,1321.32
132005,1,1321.33
132006,1,1321.34
132007,1,1321.35
132008,1,1321.36
132009,1,1321.37
132010,1,1321.37
132011,1,1321.38
132012,1,1321.39
132013,1,1321.4
132014,1,1321.41
132015,1,1321.42
132016,1,1321.43
132017,1,1321.44
132018,1,1321.45
132019,1,1321.46
132020,1,1321.46
132021,1,1321.47
132022,1,1321.48
132023,1,1321.49
132024,1,1321.5
132025,1,1321.51
132026,1,1321.52
132027,1,1321.53
132028,1,1321.54
132029,1,1321.54
132030,1,1321.55
132031,1,1321.56
132032,1,1321.57
132033,1,1321.58
132034,1,1321.59
132035,1,1321.6
132036,1,1321.61
132037,1,1321.62
132038,1,1321.62
132039,1,1321.63
132040,1,1321.64
132041,1,1321.65
132042,1,1321.66
132043,1,1321.67
132044,1,1321.68
132045,1,1321.69
132046,1,1321.7
132047,1,1321.7
132048,1,1321.71
132049,1,1321.72
132050,1,1321.73
132051,1,1321.74
132052,1,1321.75
132053,1,1321.76
132054,1,1321.77
132055,1,1321.78
132056,1,1321.78
132057,1,1321.79
132058,1,1321.8
132059,1,1321.81
132060,1,1321.82
132061,1,1321.83
132062,1,1321.84
132063,1,1321.85
132064,1,1321.86
132065,1,1321.87
132066,1,1321.87
132067,1,1321.88
132068,1,1321.89
132069,1,1321.9
132070,1,1321.91
132071,1,1321.92
132072,1,1321.93
132073,1,1321.94
132074,1,1321.95
132075,1,1321.95
132076,1,1321.96
132077,1,1321.97
132078,1,1321.98
132079,1,1321.99
132080,1,1322.0
132081,1,1322.01
132082,1,1322.02
132083,1,1322.03
132084,1,1322.03
132085,1,1322.04
132086,1,1322.05
132087,1,1322.06
132088,1,1322.07
132089,1,1322.08
132090,1,1322.09
132091,1,1322.1
132092,1,1322.11
132093,1,1322.12
132094,1,1322.12
132095,1,1322.13
132096,1,1322.14
132097,1,1322.15
132098,1,1322.16
132099,1,1322.17
132100,1,1322.18
132101,1,1322.19
132102,1,1322.2
132103,1,1322.2
132104,1,1322.21
132105,1,1322.22
132106,1,1322.23
132107,1,1322.24
132108,1,1322.25
132109,1,1322.26
132110,1,1322.27
132111,1,1322.28
132112,1,1322.29
132113,1,1322.29
132114,1,1322.3
132115,1,1322.31
132116,1,1322.32
132117,1,1322.33
132118,1,1322.34
132119,1,1322.35
132120,1,1322.36
132121,1,1322.37
132122,1,1322.38
132123,1,1322.38
132124,1,1322.39
132125,1,1322.4
132126,1,1322.41
132127,1,1322.42
132128,1,1322.43
132129,1,1322.44
132130,1,1322.45
132131,1,1322.46
132132,1,1322.46
132133,1,1322.47
132134,1,1322.48
132135,1,1322.49
132136,1,1322.5
132137,1,1322.51
132138,1,1322.52
132139,1,1322.53
132140,1,1322.54
132141,1,1322.55
132142,1,1322.55
132143,1,1322.56
132144,1,1322.57
132145,1,1322.58
132146,1,1322.59
132147,1,1322.6
132148,1,1322.61
132149,1,1322.62
132150,1,1322.63
132151,1,1322.64
132152,1,1322.64
132153,1,1322.65
132154,1,1322.66
132155,1,1322.67
132156,1,1322.68
132157,1,1322.69
132158,1,1322.7
132159,1,1322.71
132160,1,1322.72
132161,1,1322.73
132162,1,1322.73
132163,1,1322.74
132164,1,1322.75
132165,1,1322.76
132166,1,1322.77
132167,1,1322.78
132168,1,1322.79
132169,1,1322.8
132170,1,1322.81
132171,1,1322.82
132172,1,1322.83
132173,1,1322.83
132174,1,1322.84
132175,1,1322.85
132176,1,1322.86
132177,1,1322.87
132178,1,1322.88
132179,1,1322.89
132180,1,1322.9
132181,1,1322.91
132182,1,1322.92
132183,1,1322.92
132184,1,1322.93
132185,1,1322.94
132186,1,1322.95
132187,1,1322.96
132188,1,1322.97
132189,1,1322.98
132190,1,1322.99
132191,1,1323.0
132192,1,1323.01
132193,1,1323.01
132194,1,1323.02
132195,1,1323.03
132196,1,1323.04
132197,1,1323.05
132198,1,1323.06
132199,1,1323.07
132200,1,1323.08
132201,1,1323.09
132202,1,1323.1
132203,1,1323.11
132204,1,1323.11
132205,1,1323.12
132206,1,1323.13
132207,1,1323.14
132208,1,1323.15
132209,1,1323.16
132210,1,1323.17
132211,1,1323.18
132212,1,1323.19
132213,1,1323.2
132214,1,1323.21
132215,1,1323.21
132216,1,1323.22
132217,1,1323.23
132218,1,1323.24
132219,1,1323.25
132220,1,1323.26
132221,1,1323.27
132222,1,1323.28
132223,1,1323.29
132224,1,1323.3
132225,1,1323.3
132226,1,1323.31
132227,1,1323.32
132228,1,1323.33
132229,1,1323.34
132230,1,1323.35
132231,1,1323.36
132232,1,1323.37
132233,1,1323.38
132234,1,1323.39
132235,1,1323.4
132236,1,1323.4
132237,1,1323.41
132238,1,1323.42
132239,1,1323.43
132240,1,1323.44
132241,1,1323.45
132242,1,1323.46
132243,1,1323.47
132244,1,1323.48
132245,1,1323.49
132246,1,1323.5
132247,1,1323.51
132248,1,1323.51
132249,1,1323.52
132250,1,1323.53
132251,1,1323.54
132252,1,1323.55
132253,1,1323.56
132254,1,1323.57
132255,1,1323.58
132256,1,1323.59
132257,1,1323.6
132258,1,1323.61
132259,1,1323.61
132260,1,1323.62
132261,1,1323.63
132262,1,1323.64
132263,1,1323.65
132264,1,1323.66
132265,1,1323.67
132266,1,1323.68
132267,1,1323.69
132268,1,1323.7
132269,1,1323.71
132270,1,1323.72
132271,1,1323.72
132272,1,1323.73
132273,1,1323.74
132274,1,1323.75
132275,1,1323.76
132276,1,1323.77
132277,1,1323.78
132278,1,1323.79
132279,1,1323.8
132280,1,1323.81
132281,1,1323.82
132282,1,1323.83
132283,1,1323.83
132284,1,1323.84
132285,1,1323.85
132286,1,1323.86
132287,1,1323.87
132288,1,1323.88
132289,1,1323.89
132290,1,1323.9
132291,1,1323.91
132292,1,1323.92
132293,1,1323.93
132294,1,1323.94
132295,1,1323.94
132296,1,1323.95
132297,1,1323.96
132298,1,1323.97
132299,1,1323.98
132300,1,1323.99
132301,1,1324.0
132302,1,1324.01
132303,1,1324.02
132304,1,1324.03
132305,1,1324.04
132306,1,1324.05
132307,1,1324.05
132308,1,1324.06
132309,1,1324.07
132310,1,1324.08
132311,1,1324.09
132312,1,1324.1
132313,1,1324.11
132314,1,1324.12
132315,1,1324.13
132316,1,1324.14
132317,1,1324.15
132318,1,1324.16
132319,1,1324.17
